250,6536,250,6489
100,79,17,40
2,49,2,63
25,3,16,3
54,99,65,42
4,12,4,19
41,5,50,5
78,94,79,99
6,30,6,11
75,7,12,7
65,40,83,46
8,31,8,88
59,9,43,9
90,95,29,97
10,50,10,75
99,11,28,11
80,95,83,41
12,84,12,47
93,13,15,13
53,74,77,36
14,72,14,19
83,15,96,15
94,14,43,69
16,60,16,30
89,17,24,17
74,41,89,36
18,58,18,70
53,19,21,19
17,75,48,54
20,24,20,39
70,21,38,21
45,49,17,43
22,19,22,54
19,23,17,23
33,84,28,19
24,39,24,73
16,25,48,25
91,25,71,81
26,69,26,99
66,27,50,27
48,68,50,28
28,56,28,19
79,29,34,29
84,16,55,51
30,66,30,25
93,31,98,31
60,14,43,24
32,95,32,10
20,33,61,33
49,99,49,11
34,63,34,83
93,35,78,35
22,100,57,86
36,71,36,41
56,37,89,37
83,62,42,45
38,36,38,80
69,39,20,39
15,91,33,16
40,64,40,19
52,41,74,41
28,86,78,11
42,49,42,61
43,43,92,43
41,76,50,99
44,14,44,56
45,45,92,45
17,21,58,15
46,28,46,36
57,47,50,47
65,45,44,54
48,27,48,82
41,49,30,49
65,58,49,97
50,28,50,90
33,51,85,51
21,68,46,19
52,17,52,37
22,53,11,53
33,66,31,78
54,68,54,98
83,55,73,55
51,50,51,47
56,91,56,48
64,57,96,57
97,35,14,47
58,28,58,94
42,59,74,59
91,33,36,96
60,82,60,58
66,61,19,61
54,38,44,12
62,12,62,52
57,63,34,63
47,69,65,78
64,33,64,98
90,65,26,65
30,79,39,30
66,65,66,22
89,67,95,67
56,28,12,99
68,57,68,21
70,69,68,69
91,38,17,84
70,88,70,88
71,71,28,71
77,46,93,79
72,99,72,16
41,73,61,73
29,49,86,56
74,23,74,41
43,75,99,75
39,36,10,95
76,86,76,10
68,77,27,77
12,92,32,16
78,85,78,45
33,79,38,79
22,84,13,28
80,64,80,87
90,81,38,81
33,22,39,85
82,95,82,70
93,83,62,83
32,92,49,62
84,10,84,45
89,85,18,85
44,47,11,65
86,56,86,16
23,87,83,87
86,13,55,65
88,38,88,15
11,89,86,89
72,34,42,76
90,10,90,80
11,91,55,91
57,60,43,74
92,30,92,42
82,93,94,93
28,10,31,80
94,92,94,61
16,95,91,95
68,81,41,71
96,54,96,21
20,97,20,97
34,85,51,42
98,93,98,55
52,99,90,99
35,92,43,100
100,41,100,41
31,101,75,101
46,24,15,99
102,82,102,76
83,103,32,103
66,76,72,17
104,15,104,24
15,105,59,105
89,38,32,10
106,70,106,11
63,107,88,107
46,32,90,55
108,43,108,78
99,109,95,109
60,39,20,44
110,36,110,21
97,111,41,111
63,28,11,69
112,18,112,68
42,113,10,113
67,80,31,41
114,13,114,18
21,115,83,115
12,99,14,10
116,94,116,19
11,117,62,117
19,91,65,75
118,65,118,14
24,119,24,119
59,45,11,26
120,28,120,83
28,121,55,121
91,89,22,34
122,37,122,60
31,123,25,123
24,81,90,60
124,86,124,21
78,125,72,125
23,48,44,78
126,100,126,93
72,127,64,127
38,36,50,62
128,21,128,66
77,129,93,129
42,84,41,97
130,58,130,90
40,131,92,131
91,65,88,21
132,26,132,63
43,133,36,133
69,49,42,99
134,72,134,89
23,135,94,135
89,82,50,65
136,34,136,53
41,137,27,137
84,22,39,96
138,30,138,64
67,139,69,139
24,96,39,76
140,62,140,41
58,141,32,141
20,56,33,75
142,45,142,79
81,143,43,143
11,42,46,55
144,24,144,39
55,145,77,145
54,31,78,13
146,61,146,95
38,147,64,147
14,33,56,65
148,97,148,41
10,149,50,149
79,43,24,16
150,65,150,68
84,151,73,151
68,52,90,96
152,93,152,12
96,153,66,153
54,92,10,43
154,36,154,33
51,155,15,155
41,50,30,76
156,62,156,72
63,157,58,157
90,70,74,86
158,10,158,13
46,159,29,159
58,30,71,26
160,57,160,77
45,161,20,161
46,41,66,31
162,85,162,30
15,163,26,163
19,82,87,54
164,15,164,69
52,165,38,165
15,25,16,75
166,44,166,76
69,167,21,167
70,62,94,30
